stop_id_num,stop_id,stop_name,stop_lat,stop_lon
1,12TH,12th St. Oakland City Center,37.803768,-122.27145
2,16TH,16th St. Mission,37.765062,-122.419694
3,19TH,19th St. Oakland,37.80835,-122.268602
4,19TH_N,19th St. Oakland,37.80835,-122.268602
5,24TH,24th St. Mission,37.75247,-122.418143
6,ASHB,Ashby,37.852803,-122.270062
7,BALB,Balboa Park,37.721585,-122.447506
8,BAYF,Bay Fair,37.696924,-122.126514
9,CAST,Castro Valley,37.690746,-122.075602
10,CIVC,Civic Center/UN Plaza,37.779732,-122.414123
11,COLS,Coliseum,37.753661,-122.196869
12,COLM,Colma,37.684638,-122.466233
13,CONC,Concord,37.973737,-122.029095
14,DALY,Daly City,37.70612055,-122.4690807
15,DBRK,Downtown Berkeley,37.870104,-122.268133
16,DUBL,Dublin/Pleasanton,37.701687,-121.899179
17,DELN,El Cerrito del Norte,37.925086,-122.316794
18,PLZA,El Cerrito Plaza,37.902632,-122.298904
19,EMBR,Embarcadero,37.792874,-122.39702
20,FRMT,Fremont,37.557465,-121.976608
21,FTVL,Fruitvale,37.774836,-122.224175
22,GLEN,Glen Park,37.733064,-122.433817
23,HAYW,Hayward,37.669723,-122.087018
24,LAFY,Lafayette,37.893176,-122.12463
25,LAKE,Lake Merritt,37.797027,-122.26518
26,MCAR,MacArthur,37.829065,-122.26704
27,MCAR_S,MacArthur,37.829065,-122.26704
28,MLBR,Millbrae,37.600271,-122.386702
29,MONT,Montgomery St.,37.789405,-122.401066
30,NBRK,North Berkeley,37.873967,-122.28344
31,NCON,North Concord/Martinez,38.003193,-122.024653
32,OAKL,Oakland Int'l Airport,37.713238,-122.212191
33,ORIN,Orinda,37.87836087,-122.1837911
34,PITT,Pittsburg/Bay Point,38.018914,-121.945154
35,PHIL,Pleasant Hill/Contra Costa Centre,37.928468,-122.056012
36,POWL,Powell St.,37.784471,-122.407974
37,RICH,Richmond,37.936853,-122.353099
38,ROCK,Rockridge,37.844702,-122.251371
39,SBRN,San Bruno,37.637761,-122.416287
40,SFIA,San Francisco Int'l Airport,37.615966,-122.392409
41,SANL,San Leandro,37.721947,-122.160844
42,SHAY,South Hayward,37.634375,-122.057189
43,SSAN,South San Francisco,37.664245,-122.44396
44,UCTY,Union City,37.59063,-122.017388
45,WCRK,Walnut Creek,37.905522,-122.067527
46,WDUB,West Dublin/Pleasanton,37.699756,-121.92824
47,WOAK,West Oakland,37.804872,-122.29514
48,WARM,Warm Springs / South Fremont,37.502171,-121.939313
